"date","close","high","low","open"
"2021-01-25T20:10:00.000Z",277.21,277.21,277.21,277.21
"2021-01-25T20:11:00.000Z",276.86,276.99,276.795,276.99
"2021-01-25T20:12:00.000Z",276.8,276.88,276.75,276.87
"2021-01-25T20:13:00.000Z",276.625,276.735,276.595,276.725
"2021-01-25T20:14:00.000Z",276.615,276.77,276.6,276.6
"2021-01-25T20:15:00.000Z",276.64,276.64,276.475,276.57
"2021-01-25T20:16:00.000Z",276.77,276.77,276.47,276.59
"2021-01-25T20:17:00.000Z",276.71,276.725,276.525,276.705
"2021-01-25T20:18:00.000Z",276.805,276.97,276.71,276.735
"2021-01-25T20:19:00.000Z",276.96,276.985,276.78,276.835
"2021-01-25T20:20:00.000Z",276.79,276.935,276.79,276.93
"2021-01-25T20:21:00.000Z",276.76,276.895,276.72,276.89
"2021-01-25T20:22:00.000Z",276.575,276.915,276.56,276.66
"2021-01-25T20:23:00.000Z",276.79,276.79,276.54,276.54
"2021-01-25T20:24:00.000Z",276.73,276.79,276.63,276.75
"2021-01-25T20:25:00.000Z",276.65,276.83,276.65,276.73
"2021-01-25T20:26:00.000Z",276.77,276.77,276.6,276.625
"2021-01-25T20:27:00.000Z",276.71,276.81,276.635,276.8
"2021-01-25T20:28:00.000Z",276.77,276.77,276.61,276.76
"2021-01-25T20:29:00.000Z",276.42,276.73,276.42,276.73
"2021-01-25T20:30:00.000Z",276.365,276.53,276.36,276.45
"2021-01-25T20:31:00.000Z",276.37,276.555,276.34,276.37
"2021-01-25T20:32:00.000Z",276.49,276.51,276.315,276.34
"2021-01-25T20:33:00.000Z",276.47,276.505,276.405,276.48
"2021-01-25T20:34:00.000Z",276.58,276.65,276.48,276.48
"2021-01-25T20:35:00.000Z",276.475,276.72,276.46,276.65
"2021-01-25T20:36:00.000Z",276.63,276.63,276.33,276.52
"2021-01-25T20:37:00.000Z",276.62,276.74,276.57,276.675
"2021-01-25T20:38:00.000Z",276.68,276.75,276.61,276.63
